"","year","month","tmin","tmax","spei","drought","yrmo","tave","wy","wymo","p","T_anom","P_anom"
"721",2002,9,14.2314814814815,22.7222222222222,-0.271497414897171,"none","2002-9",18.4768518518518,2002,12,4.826,-1.00859375,0.1301750035625
"722",2002,10,12.3745519713262,19.5609318996416,-0.318251450420167,"none","2002-10",15.9677419354839,2003,1,0.254,-1.80363937138132,-15.2888461374744
"723",2002,11,10.6481481481482,22.0555555555556,-0.0567481484807225,"none","2002-11",16.3518518518519,2003,2,165.862,1.2034069325736,119.546076963231
"724",2002,12,8.584229390681,17.5985663082437,0.399705416043706,"none","2002-12",13.0913978494624,2003,3,158.242,0.266758694178046,84.5717027784189
"725",2003,1,10.5017921146953,21.989247311828,0.203142216272805,"none","2003-1",16.2455197132617,2003,4,2.54,3.69198603069571,-98.0309741778077
"726",2003,2,9.16666666666667,18.1944444444444,0.591657679201979,"none","2003-2",13.6805555555556,2003,5,83.312,0.538650565590224,-18.2912562284359
"727",2003,3,10.2240143369176,20.3584229390681,0.999719391968767,"none","2003-3",15.2912186379928,2003,6,131.064,1.33614627285514,52.2285829421392
"728",2003,4,10.4444444444445,19.1481481481481,1.05262030234631,"none","2003-4",14.7962962962963,2003,7,32.512,-0.489057239057237,0.188233808779223
"729",2003,5,12.0071684587814,19.6236559139785,1.18521512326779,"none","2003-5",15.8154121863799,2003,8,49.784,-0.497479838709676,41.0718000232125
"730",2003,6,14.2407407407407,20.4259259259259,1.21243418825888,"none","2003-6",17.3333333333333,2003,9,4.826,-0.345985498811778,2.57536709598734
"731",2003,7,16.5770609318996,24.3906810035842,1.18793594762629,"none","2003-7",20.4838709677419,2003,10,1.27,0.969904498130301,0.715818182545455
"732",2003,8,16.1827956989247,25.752688172043,1.15026063633169,"none","2003-8",20.9677419354839,2003,11,0,0.956853137334967,-0.739493670594937
"733",2003,9,15.2777777777778,22.7407407407407,1.19331580245675,"none","2003-9",19.0092592592593,2003,12,0,-0.476186342592595,-4.6958249964375
