ID date mm Flag
200 1963-09-18  0.23 -999
200 1963-09-19  0.34 D
200 1963-10-02  0.03 -999
200 1963-10-04  0.08 -999
200 1963-10-11  0.20 -999
200 1963-10-15  0.57 -999
200 1963-10-16  0.12 -999
200 1963-11-06  0.79 -999
200 1963-11-14  0.25 -999
200 1963-11-15  0.29 -999
200 1963-11-19  1.60 -999
200 1963-11-20  0.10 -999
200 1964-01-18  0.04 -999
200 1964-01-20  0.39 -999
200 1964-01-21  0.79 D
200 1964-01-22  0.22 D
200 1964-01-26  0.05 -999
200 1964-03-02  0.15 -999
200 1964-03-12  0.29 -999
200 1964-03-22  1.13 D
200 1964-03-23  0.02 D
200 1964-03-24  0.05 -999
200 1964-03-31  0.95 -999
200 1964-04-01  0.05 -999
200 1964-04-28  0.05 -999
200 1964-05-04  0.03 -999
200 1964-05-06  0.03 -999
200 1964-06-08  0.03 PA
200 1964-08-04  0.01 PA
200 1964-10-27  0.35 -999
200 1964-10-28  0.43 PA
200 1964-10-29  0.22 PA
200 1964-11-07  0.12 -999
200 1964-11-08  0.20 PA
200 1964-11-09  0.48 PA
200 1964-11-10  1.19 PA
200 1964-11-11  0.13 -999
200 1964-11-12  0.08 -999
200 1964-11-17  0.03 -999
200 1964-12-18  0.02 -999
200 1964-12-19  1.75 -999
200 1964-12-20  1.82 -999
200 1964-12-21  0.02 -999
200 1964-12-22  0.02 -999
200 1964-12-26  0.29 -999
200 1964-12-27  0.22 -999
200 1964-12-28  0.13 -999
200 1964-12-29  0.15 -999
200 1964-12-30  0.13 -999
200 1964-12-31  0.14 -999
200 1965-01-03  0.01 -999
200 1965-01-04  0.02 -999
200 1965-01-05  0.02 -999
200 1965-01-06  0.37 -999
200 1965-01-07  0.06 -999
200 1965-01-15  0.02 -999
200 1965-01-23  0.28 -999
200 1965-01-24  0.03 -999
200 1965-02-05  0.44 -999
200 1965-02-06  0.14 E311
200 1965-03-04  0.22 E311
200 1965-03-06  0.24 E311
200 1965-03-10  0.10 E311
200 1965-03-12  0.61 E311
200 1965-03-13  0.09 E311
200 1965-03-14  0.04 E311
200 1965-03-31  1.48 E311
200 1965-04-01  0.94 E311
200 1965-04-02  0.60 E311
200 1965-04-03  0.54 E311
200 1965-04-04  0.34 E311
200 1965-04-06  0.02 E311
200 1965-04-07  0.08 E311
200 1965-04-08  1.49 E311
200 1965-04-09  1.65 E311
200 1965-04-12  0.14 E311
200 1965-11-13  0.05 E311
200 1965-11-14  1.06 E311
200 1965-11-15  0.94 E311
200 1965-11-16  2.08 E311
200 1965-11-17  0.58 E311
200 1965-11-18  0.33 E311
200 1965-11-22  0.79 E311
200 1965-11-23  0.71 E311
200 1965-11-24  0.13 E311
200 1965-11-25  0.25 E311
200 1965-12-09  0.50 E311
200 1965-12-11  0.27 E311
200 1965-12-12  0.07 E311
200 1965-12-14  0.09 E311
200 1965-12-25  0.04 E311
200 1965-12-28  0.16 E311
200 1965-12-29  1.83 E311
200 1965-12-30  0.31 E311
200 1965-12-31  0.20 E311
200 1966-01-27  0.06 E311
200 1966-01-29  0.59 E311
200 1966-01-30  1.33 E311
200 1966-02-01  0.10 E311
200 1966-02-05  0.30 E311
200 1966-02-06  0.41 E311
200 1966-03-01  0.05 E311
200 1966-03-02  0.08 E311
200 1966-05-08  0.07 E311
200 1966-06-15  0.11 E311
200 1966-09-29  0.02 E311
200 1966-10-05  0.04 E311
200 1966-11-06  0.64 E311
200 1966-11-07  2.46 E311
200 1966-11-08  0.06 E311
200 1966-11-16  0.01 E311
200 1966-11-19  0.02 E311
200 1966-11-20  0.35 E311
200 1966-11-28  0.22 E311
200 1966-12-02  2.12 E311
200 1966-12-03  0.01 E311
200 1966-12-04  0.41 E311
200 1966-12-05  1.52 E311
200 1966-12-06  1.05 E311
200 1967-01-21  0.23 E311
200 1967-01-22  0.82 E311
200 1967-01-24  4.03 E311
200 1967-01-30  0.43 E311
200 1967-02-24  0.12 E311
200 1967-02-25  0.46 E311
200 1967-03-10  0.15 E311
200 1967-03-11  0.67 E311
200 1967-03-12  0.33 E311
200 1967-03-13  0.13 E311
200 1967-03-15  0.01 E311
200 1967-03-16  0.25 E311
200 1967-03-30  0.19 E311
200 1967-03-31  0.09 E311
200 1967-04-01  0.34 E311
200 1967-04-04  0.98 E311
200 1967-04-06  0.14 E311
200 1967-04-07  0.22 E311
200 1967-04-10  0.48 E311
200 1967-04-11  0.14 E311
200 1967-04-15  0.06 E311
200 1967-04-18  0.56 E311
200 1967-04-19  0.29 E311
200 1967-04-20  0.06 E311
200 1967-04-21  0.72 E311
200 1967-04-22  0.03 E311
200 1967-04-23  0.23 E311
200 1967-04-28  0.05 E311
200 1967-05-09  0.05 E311
200 1967-08-06  0.05 E311
200 1967-09-27  0.02 E311
200 1967-09-28  0.05 E311
200 1967-11-18  0.63 E311
200 1967-11-19  1.03 E311
200 1967-11-20  0.51 E311
200 1967-11-21  1.01 E311
200 1967-11-29  0.15 E311
200 1967-11-30  0.98 E311
200 1967-12-04  0.01 E311
200 1967-12-05  0.23 E311
200 1967-12-07  0.12 E311
200 1967-12-18  0.70 E311
200 1967-12-19  0.22 E311
200 1968-01-10  0.47 E311
200 1968-01-20  0.02 E311
200 1968-01-21  0.45 E311
200 1968-01-24  0.14 E311
200 1968-01-25  0.05 E311
200 1968-02-09  0.02 E311
200 1968-02-12  0.48 E311
200 1968-02-13  0.24 E311
200 1968-02-16  0.22 E311
200 1968-02-17  0.92 E311
200 1968-03-07  3.09 E311
200 1968-03-08  0.12 E311
200 1968-03-13  1.02 E311
200 1968-03-16  0.16 E311
200 1968-04-01  0.59 E311
200 1968-04-02  0.06 E311
200 1968-10-13  0.61 E311
200 1968-10-14  0.70 E311
200 1968-10-29  0.18 E311
200 1968-11-03  0.08 E311
200 1968-11-14  0.18 E311
200 1968-11-15  0.51 E311
200 1968-12-10  0.29 E311
